【来源】https://github.com/xisohi/CHINA-IPTV
央视,#genre#
潮妈辣婆,http://120.210.193.151:8006/120000000058/GITV-AH-3/GITV-AH-3.m3u8
池州文教生活,http://120.210.193.151:8006/120000001002/XMTczwjsh/1.m3u8
滁州公共,http://120.210.193.151:8006/120000001002/XMTczgg/1.m3u8
滁州科教,http://120.210.193.151:8006/120000001002/XMTczkg/1.m3u8
动作电影,http://120.210.193.151:8006/120000000058/GITV-AH-21/GITV-AH-21.m3u8
都市剧场,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/dsjc8m/index.m3u8
法治天地,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/fztd8m/index.m3u8
繁昌新闻综合,http://120.210.193.151:8006/120000001002/XMTfcxw/1.m3u8
阜南新闻,http://120.210.193.151:8006/120000001002/XMTfnxw/1.m3u8
古装剧场,http://120.210.193.151:8006/120000000058/GITV-AH-22/GITV-AH-22.m3u8
固镇综合,http://120.210.193.151:8006/120000001002/XMTgzxw/1.m3u8
怀远综合,http://120.210.193.151:8006/120000001002/XMThyxw/1.m3u8
淮北经济生活,http://120.210.193.151:8006/120000001002/XMThbjjsh/1.m3u8
淮南民生,http://120.210.193.151:8006/120000001002/XMThnms/1.m3u8
广德生活,http://120.210.193.151:8006/120000001002/XMTgdsh/1.m3u8
广德新闻综合,http://120.210.193.151:8006/120000001002/XMTgdxw/1.m3u8
霍邱新闻综合,http://120.210.193.151:8006/120000001002/XMThqxw/1.m3u8
霍山综合,http://120.210.193.151:8006/120000001002/XMThszh/1.m3u8
绩溪新闻综合,http://120.210.193.151:8006/120000001002/XMTjxxw/1.m3u8
家庭剧场,http://120.210.193.151:8006/120000000058/GITV-AH-9/GITV-AH-9.m3u8
江西电视指南,http://120.210.193.151:8006/120000001002/XMTdszn/1.m3u8
界首新闻,http://120.210.193.151:8006/120000001002/XMTjsxw/1.m3u8
金牌综艺,http://120.210.193.151:8006/120000000058/GITV-AH-19/GITV-AH-19.m3u8
金色,http://120.210.193.151:8006/120000001003/live/program/_ahbyfh-1_/live/jingsepd8m/index.m3u8
金色学堂,http://120.210.193.151:8006/120000001002/XMTjspd/1.m3u8
金寨新闻,http://120.210.193.151:8006/120000001002/XMTjzxw/1.m3u8
惊悚悬疑,http://120.210.193.151:8006/120000000058/GITV-AH-17/GITV-AH-17.m3u8
睛彩安徽,http://120.210.193.151:8006/120000001002/XMTjcah/index.m3u8
睛彩竞技,http://120.210.193.151:8006/000000001001/3000000020000011528/3000000020000011528.m3u8
